EmployeeID,FirstName,LastName,DateOfBirth,ContactNumber,Email,Address,Position,Salary,CompanyShare
591310,Angela,Hall,1995-06-13,707-928-4873,peterhubbard@example.net,"6267 Tiffany Summit Suite 185
Patrickport, VI 34722","Education officer, environmental",60139.86457126473,7
244916,Scott,Weber,1965-06-07,227.759.4671x85097,cookdonald@example.org,"PSC 5163, Box 8677
APO AP 92684",Charity officer,48797.27163558341,5
567252,Diana,White,1959-07-26,623.514.2204,price@example.net,"864 Kevin Cove
Kristinaland, WI 82752",Sports coach,52008.1284209747,8
990725,Carolyn,Henderson,1983-02-27,001-581-290-0806x23292,kerri99@example.org,"74534 John Mews
Wilsonchester, MA 21427",Best boy,90420.00437626572,10
47569,Benjamin,Russell,1962-05-28,642-365-5052,judith65@example.net,"0935 Browning Road
Bishopland, IL 81605",Licensed conveyancer,63938.25968765412,7
586864,Stacy,Shields,2003-09-11,001-787-998-2618x961,ubest@example.com,"46964 Fields Streets Suite 960
Port Darren, WI 87715",Legal executive,47306.83741399411,1
86516,Bryan,Stephens,1999-01-23,586.810.0564x915,kennethcampos@example.com,"82658 Reilly Spurs Suite 831
Dunntown, HI 90500",Training and development officer,57313.4091545291,6
130338,Devin,Olson,1964-05-09,(763)354-1096x62651,shawnale@example.net,"275 Regina Flat Apt. 597
North Karla, MO 12571","Administrator, arts",54376.57644443969,7
251680,Joseph,Mills,1960-01-17,(835)840-7144x56511,katherine38@example.org,"270 Dawn Ports
Piercetown, NC 49387",Civil Service fast streamer,53969.446259026765,10
960185,Donald,Walker,1997-05-08,(754)602-8327x972,megan95@example.org,"00669 Brett Ville
South Thomas, OR 13855",Insurance broker,88320.72199680687,3
765868,Gregory,Shea,1957-11-24,(406)300-3974x965,wstokes@example.com,"731 Hebert Lights
New Chad, AZ 77229","Buyer, industrial",92155.77538476372,9
655880,Laurie,Cooper,1994-09-30,401-711-2012x4532,douglaswells@example.org,"44199 Cunningham Fields Suite 585
Andersonville, AR 84720",Insurance claims handler,69528.08589379609,6
430252,Sharon,Green,1967-03-14,(902)246-0789,teresa47@example.net,"2956 Lowe Crossroad Apt. 243
Philipmouth, RI 96782","Administrator, local government",89799.05027818005,2
531698,Cody,Dean,1988-01-15,(597)446-1703x672,adorsey@example.net,"041 Gene Oval Suite 305
West Jacquelineport, MT 53065","Therapist, music",59119.27597129668,1
420334,Susan,Bishop,1992-02-18,788-209-4458,tkelley@example.org,"61288 Schultz Plain Suite 174
Crystaltown, VI 27193",Race relations officer,52613.420402437965,9
916937,Anthony,Alvarez,1968-07-23,979-628-7837x62151,manningholly@example.org,"6523 Deleon Rapids
Shaneberg, HI 56799","Surveyor, quantity",82700.9228986399,3
119779,Jodi,Glover,2004-10-29,287.225.5330,leerobin@example.net,"0310 Juarez Vista Suite 981
East Heather, NE 76186",Intelligence analyst,43351.747746187,6
332820,Cole,Christensen,1980-06-05,(863)686-4402,paulwalker@example.net,"2759 Timothy Plain Suite 834
East Luisborough, IN 64979",Housing manager/officer,76907.69185468002,5
599134,Michael,Bartlett,1988-06-11,462.290.7520x0584,brandijohnson@example.com,"9440 Gregory Plain Suite 112
East Jeremybury, PR 01255",Medical illustrator,50851.383165247615,9
794834,Kathy,Mitchell,1978-05-16,+1-628-574-4109,brandonvasquez@example.org,"77979 Page Spring
Lake Gloriamouth, NH 63665",Actor,41186.05435461063,6
975386,Carol,Thompson,1980-06-22,4096514436,zsmith@example.org,"762 Stephen Squares
Piercefurt, WV 81777",Dietitian,91164.15821928275,1
416541,Devon,Hester,1992-06-01,(961)880-4455x871,tammyhaas@example.org,"9410 Jamie Extension
North Jamesfort, MA 84332",Retail buyer,69336.29391155925,4
536791,Aaron,Gibbs,1974-11-18,+1-314-742-7882x31912,laura73@example.com,"91232 Kimberly Curve
Port Jeremyburgh, PA 13437",Higher education lecturer,95847.43053467247,2
916770,Laura,Bryant,1998-10-31,6566499647,pollardmatthew@example.com,"0499 Martin Trafficway
Powersland, MD 71380",Site engineer,45803.24057363822,8
182535,Jessica,Brown,1995-09-20,(218)871-9684x117,robertrogers@example.net,"3045 Cunningham Freeway Suite 385
Bryanfort, DE 30118",Actor,44890.325636839276,6
693673,Jennifer,Johnson,1996-08-05,677.539.1556x18620,charles81@example.org,"Unit 1834 Box 6481
DPO AA 32356","Scientist, research (physical sciences)",53477.81715481065,2
115113,Ronald,Burke,1965-05-28,532.734.5752,landerson@example.com,"937 Johnston Ramp
Johnsonberg, MT 10072","Engineer, land",92582.36836364142,2
592368,Jennifer,Rubio,1976-03-09,(947)547-6253,ppowell@example.net,"6832 Stephanie Burg Apt. 249
Vargasbury, WA 80724",Dancer,88814.59388816112,7
784312,Andrew,Bell,1964-11-26,(475)981-9230,lauraortiz@example.net,"6845 Herman Forest
Port Christine, TN 08223",Soil scientist,79497.67546872632,5
87330,Heather,Johnson,1967-05-08,(934)214-1517x859,francocurtis@example.org,"201 Reid Mews Apt. 187
East Eric, HI 39411",Product manager,99741.47476926396,9
